ADN	ad
Enée	ə.ˈne
Eole	ɔl
Epiphanie	ə.pi.fa.ˈni
Erythrée	ə.ʁi.ˈtʁe
Escaut	ɛ.ˈsko
Espagne	ɛ.ˈspanj
Espagnol	ɛ.spa.ˈnjɔl
Espagnole	ɛ.spa.ˈnjɔl
Estonie	ɛ.sto.ˈni
Estonien	ɛ.sto.ˈni
Estonienne	ɛ.sto.ˈnjɛn
Ethiopie	ɛ.tjo.ˈpi
Ethiopien	ɛ.tjo.ˈpi
Etrusque	ə.ˈtʁysk
Euphrate	ø.ˈfʁat
Europe	ø.ˈʁɔp
Européen	ø.ʁɔ.ˈpe
Finlandaise	fi.lã.ˈdɛz
Finlande	fi.ˈlãd
Finnois	fi.ˈnwa
Finnoise	fi.ˈnwaz
Flamand	fla.ˈmã
Flandre	flãdʁ
Flandre Zélandaise	flãdʁ.ze.lã.ˈdɛz
Flessingue	fle.ˈsɛ̃g
Fleuve Churchill	flœv.ʃyʁ.ˈʃi
Fleuve Columbia	flœv.kɔ.ly.bi.ˈja
Fleuve Fraser	flœv.fʁa.ˈze
Floride	flo.ˈʁid
Fortune	foʁ.ˈtyn
France	fʁãs
Francfort	fʁãk.ˈfɔʁ
Français	fʁã.ˈsɛ
Française	fʁã.ˈsɛz
Fraser	fʁa.ˈze
Frise	fʁiz
Frison	fʁi.ˈzõ
Gabon	ga.ˈbõ
Galice	ga.ˈlis
Galicie	ga.li.ˈsi
Galles	gal
Gallois	ga.ˈlwa
Gand	gã
Gange	gãʒ
Gaule	gol
Gaulois	go.ˈlwa
Genèse	ʒə.ˈnɛz
Genève	ʒə.ˈnɛv
Germain	ʒɛʁ.ˈmɛ̃
Ghana	ga.ˈna
Ghanéen	ga.ˈne
Golfe d'Aden	gɔlf.da.ˈdɛn
Goth	got
Grammont	gʁa.ˈmõ
Grand Lac Salé	gʁã.lak.sa.ˈle
Grec	gʁɛk
Grecque	gʁɛk
Grenade	gʁə.ˈnad
Groenland	gʁœã.ˈlã
Groenlandais	gʁœã.lã.ˈdɛ
Groënland	gʁo.ˈlã
Groënlandais	gʁo.lã.ˈdɛ
Grèce	gʁɛs
Guadeloupe	ga.də.ˈlup
Guatemala	ga.tə.ma.ˈla
Guatémaltèque	ga.te.mal.ˈtɛk
Gueldre	gɛldʁ
Guinée	gi.ˈne
Guinée Equatoriale	gi.neə.ka.tɔ.ˈʁjal
Guyenne	gi.ˈjɛn
Gédéon	ʒe.ˈdeõ
Géorgie	ʒeɔʁ.ˈʒi
Géorgien	ʒeɔʁ.ˈʒi
Gênes	ʒɛn
Hambourg	ã.ˈbuʁ
Hannibal	a.ni.ˈbal
Hanovre	a.ˈnovʁ
Hawaii	o.ˈwɛ
Haïti	ai.ˈti
Hellade	ɛ.ˈlad
Helvétie	ɛl.ve.ˈsi
Helvète	ɛl.ˈvɛt
Hercule	ɛʁ.ˈkyl
Hermès	ɛʁ.ˈmɛ
Himalaya	i.ma.lɛ.ˈja
Hippocrate	i.po.ˈkʁat
Hollandais	ɔ.lã.ˈdɛ
Hollande	ɔ.ˈlãd
Hollande septentrionale	ɔ.lãd.sɛp.tã.tʁjo.ˈnal
Homère	o.ˈmɛʁ
Honduras	õ.dy.ˈʁa
Hondurien	õ.dy.ˈʁi
Hondurienne	õ.dy.ˈʁjɛn
Hongrie	õ.ˈgʁi
Hongrois	õ.ˈgʁwa
Hongroise	õ.ˈgʁwaz
Hong Kong	õŋ.ˈkõŋ
Hébreu	e.ˈbʁø
Hébrides	e.ˈbʁid
Hélène	e.ˈlɛn
Iles normandes	il.nɔʁ.ˈmãd
Ile Kénosha	il.ke.no.ˈza
Ile Remprouix	il.ʁã.ˈpʁwi
Ile de Baffin	il.də.ba.ˈfɛ̃
Ile de Sable	il.də.ˈsabl
Ile de Vancouver	il.də.vã.ku.ˈve
Ile du Diable	il.dy.ˈdjabl
Ile d'Anticosti	il.dã.ti.ko.ˈsti
Ile d'Ellesmere	il.dɛl.ˈsməʁ
Iliade	i.ˈljad
Inde	ɛ̃d
Indien	ɛ̃.ˈdi
Indienne	ɛ̃.ˈdjɛn
Indochine	ɛ̃.do.ˈʃin
Indonésie	ɛ̃.do.ne.ˈzi
Indonésien	ɛ̃.do.ne.ˈzi
Indonésienne	ɛ̃.do.nez.ˈjɛn
Irak	i.ˈʁak
Irakien	i.ʁa.ˈki
Iran	i.ˈʁã
Iranien	i.ʁa.ˈni
Iranienne	i.ʁa.ˈnjɛn
Irlandais	iʁ.lã.ˈdɛ
Irlandaise	iʁ.lã.ˈdɛz
Irlande	iʁ.ˈlãd
Irlande du Nord	iʁ.lãd.dy.ˈnɔʁ
Islandais	is.lã.ˈdɛ
Islande	is.ˈlãd
Israël	is.ˈʁal
Italie	i.ta.ˈli
Italien	i.ta.ˈli
Italienne	i.ta.ˈljɛn
Jacob	ʒa.ˈkɔb
Jacques	ʒak
Jamaïque	ʒa.ˈmaik
Japon	ʒa.ˈpõ
Japonais	ʒa.pɔ.ˈnɛ
Japonaise	ʒa.pɔ.ˈnɛz
Java	ʒa.ˈva
Javanais	ʒa.va.ˈnɛ
Javanaise	ʒa.va.ˈnɛz
Jordanie	ʒɔʁ.da.ˈni
Jordanien	ʒɔʁ.da.ˈni
Joseph	ʒo.ˈzə
Josué	ʒo.ˈsye
Jourdain	ʒuʁ.ˈdɛ̃
Juif	ʒɥif
Junon	ʒy.ˈnõ
Jupiter	ʒy.pi.ˈte
Jéricho	ʒe.ʁi.ˈʃo
Jérusalem	ʒe.ʁy.za.ˈlɛm
Kenya	kə.ˈnia
Kenyan	kə.ˈniã
Khmer	kme
Kremlin	kʁãm.ˈlɛ̃
Kurde	kyʁd
Kurdistan	kyʁ.di.ˈstã
Lac Léman	la.kle.ˈmã
Laos	lao
Laotien	laɔ.ˈti
Lapon	la.ˈpõ
Laponie	la.po.ˈni
Laponne	la.ˈpɔn
Laurentides	lo.ʁã.ˈtid
La Havane	laa.ˈvan
La Haye	laɛj
Letton	lɛ.ˈtõ
Lettonie	lɛ.to.ˈni
Lettonne	lɛ.ˈtɔn
Leyde	lɛd
Le Caire	lə.ˈkɛʁ
Liban	li.ˈbã
Libanais	li.ba.ˈnɛ
Libye	li.ˈbi
Libyen	li.ˈbi
Libéria	li.be.ˈʁja
Libérien	li.be.ˈʁi
Lierre	ljɛʁ
Lisbonne	lis.ˈbɔn
Lituanie	li.tya.ˈni
Lituanien	li.tya.ˈni
Lituanienne	li.tya.ˈnjɛn
Livonie	li.vo.ˈni
Livonien	li.vo.ˈni
Livourne	li.ˈvuʁn
Liége	ljeʒ
Liège	ljɛʒ
Londonien	lõ.do.ˈni
Londres	lõdʁ
Lorraine	lo.ˈʁɛn
Louvain	lu.ˈvɛ̃
Lucerne	ly.ˈsɛʁn
Luxembourg	lyk.sã.ˈbuʁ
Luxemburgeois	lyk.sã.byʁ.ˈʒwa
Lyon	liõ
Machiavel	ma.kja.ˈvɛl
Mackenzie	ma.kã.ˈzi
Macédoine	ma.se.ˈdwan
Macédonien	ma.se.do.ˈni
Madagascar	ma.da.ga.ˈskaʁ
Madone	ma.ˈdɔn
Madrid	ma.ˈdʁi
Mahomet	mao.ˈmɛ
Majorque	ma.ˈʒɔʁk
Malais	ma.ˈlɛ
Malaisie	ma.lɛ.ˈzi
Malaisien	ma.lɛ.ˈzi
Malawi	ma.lo.ˈwi
Mali	ma.ˈli
Malines	ma.ˈlin
Maltais	mal.ˈtɛ
Malte	malt
Mammon	ma.ˈmõ
Mandchourie	mãd.ʃu.ˈʁi
Manille	ma.ˈnij
Manitoba	ma.ni.tɔ.ˈba
Marcq	maʁk
Mariannes	ma.ˈʁjan
Marie	ma.ˈʁi
Maroc	ma.ˈʁok
Marocain	ma.ʁo.ˈkɛ̃
Maroni	ma.ʁo.ˈni
Mars	maʁ
Marseille	maʁ.ˈsɛj
Mathusalem	ma.ty.za.ˈlɛm
Maure	moʁ
Mauritanie	mo.ʁi.ta.ˈni
Mauritanien	mo.ʁi.ta.ˈni
Mayence	mɛ.ˈjãs
Mecque	mɛk
Mercure	mɛʁ.ˈkyʁ
Messie	mɛ.ˈsi
Messine	mɛ.ˈsin
Meuse	møz
Mexicain	mɛk.si.ˈkɛ̃
Mexicaine	mɛk.si.ˈkɛn
Mexico	mɛk.si.ˈko
Mexique	mɛk.ˈsik
Milan	mi.ˈlã
Minerve	mi.ˈnɛʁv
Moldave	mɔl.ˈdav
Moldavie	mɔl.da.ˈvi
Moluques	mɔ.ˈlyk
Moluquois	mɔ.ly.ˈkwa
Monaco	mo.na.ˈko
Mongolie	mõ.gɔ.ˈli
Monténégrin	mõ.te.ne.ˈgʁɛ̃
Monténégro	mõ.te.ne.ˈgʁo
Monégasque	mo.ne.ˈgask
Moravie	mɔ.ʁa.ˈvi
More	mɔʁ
Morphée	mɔʁ.ˈfe
Moscou	mo.ˈsku
Moscovite	mo.sko.ˈvit
Moselle	mo.ˈzɛl
Moïse	moiz
Munich	my.ˈniʃ
Mycènes	mi.ˈsɛn
Méditerranée	me.di.tɛ.ʁa.ˈne
Méduse	me.ˈdyz
Mélanésie	me.la.ne.ˈzi
Mélanésien	me.la.ne.ˈzi
Méphistophélès	me.fi.sto.fe.ˈlɛ
Mésopotamie	me.zɔ.pɔ.ta.ˈmi
Nabuchodonosor	na.by.ʃɔ.do.no.ˈzɔʁ
Namur	na.ˈmyʁ
Nankin	nã.ˈkɛ̃
Naples	napl
Napolitain	na.pɔ.li.ˈtɛ̃
Nemrod	nãm.ˈʁɔ
Neptune	nɛp.ˈtyn
Nicaragua	ni.ka.ʁa.ˈga
Nicaraguayen	ni.ka.ʁa.ˈgɛj
Niger	ni.ˈʒe
Nigeria	ni.ʒə.ˈʁja
Nigérian	ni.ʒe.ˈʁjã
Nigérien	ni.ʒe.ˈʁi
Nil	nil
Nimègue	ni.ˈmɛg
Noir	nwaʁ
Nordafricain	nɔʁ.da.fʁi.ˈkɛ̃
Normand	nɔʁ.ˈmã
Norvégien	nɔʁ.ve.ˈʒi
Norvège	nɔʁ.ˈvɛʒ
Noé	noe
Néerlandais	neɛʁ.lã.ˈdɛ
Néerlandaise	neɛʁ.lã.ˈdɛz
Némésis	ne.me.ˈzi
Népal	ne.ˈpal
Népalais	ne.pa.ˈlɛ
Océanie	ɔ.sea.ˈni
Olympe	ɔ.ˈlip
Ontario	õ.ta.ˈʁjo
Orange	o.ˈʁãʒ
Orcades	ɔʁ.ˈkad
Orphée	ɔʁ.ˈfe
Ostende	o.ˈstãd
Ostrogoth	o.stʁo.ˈgɔt
Oural	u.ˈʁal
Pacifique	pa.si.ˈfik
Pakistan	pa.ki.ˈstã
Pakistanais	pa.ki.sta.ˈnɛ
Pakistanaise	pa.ki.sta.ˈnɛz
Palestine	pa.lɛ.ˈstin
Palestinien	pa.lɛ.sti.ˈni
Pan	pã
Panam	pa.ˈnam
Panama	pa.na.ˈma
Paname	pa.ˈnam
Panaméen	pa.na.ˈme
Panaméenne	pa.na.ˈmeɛn
Pandore	pã.ˈdɔʁ
Papou	pa.ˈpu
Paris	pa.ˈʁi
Parisien	pa.ʁi.ˈzi
Parthe	paʁt
Passe Lower	pas.lo.ˈve
Pentateuque	pã.ta.ˈtøk
Pentecôte	pã.tə.ˈkot
Persan	pɛʁ.ˈsã
Persane	pɛʁ.ˈsan
Perse	pɛʁs
Petit Poucet	pə.ti.pu.ˈsɛ
Philippin	fi.li.ˈpɛ̃
Philippine	fi.li.ˈpin
Philippines	fi.li.ˈpin
Platon	pla.ˈtõ
Pluton	ply.ˈtõ
Pologne	pɔ.ˈlonj
Polonais	pɔ.lo.ˈnɛ
Polonaise	pɔ.lo.ˈnɛz
Polynésie	pɔ.li.ne.ˈzi
Polynésien	pɔ.li.ne.ˈzi
Poméranie	pɔ.me.ʁa.ˈni
Porto	pɔʁ.ˈto
Portugais	pɔʁ.ty.ˈgɛ
Portugaise	pɔʁ.ty.ˈgɛz
Portugal	pɔʁ.ty.ˈgal
Prague	pʁag
Protée	pʁɔ.ˈte
Prusse	pʁys
Prussien	pʁy.ˈsi
Ptolémée	ptɔ.le.ˈme
Pégase	pe.ˈgaz
Pékin	pe.ˈkɛ̃
Péninsule Ministikawatin	pe.nɛ̃.syl.mi.ni.sti.ko.wa.ˈtɛ̃
Pénélope	pe.ne.ˈlɔp
Pérou	pe.ˈʁu
Pâques	pak
Pâris	pa.ˈʁi
Québec	ke.ˈbɛk
Rameaux	ʁa.ˈmo
Ratisbonne	ʁa.tis.ˈbɔn
Reims	ʁɛ̃
Rhin	ʁɛ̃
Rhodésie	ʁo.de.ˈzi
Rhénanie	ʁe.na.ˈni
Rhône	ʁon
Richard	ʁi.ˈʃaʁ
Rivière Churchill	ʁi.vjɛʁ.ʃyʁ.ˈʃi
Romain	ʁo.ˈmɛ̃
Rome	ʁɔm
Roumain	ʁu.ˈmɛ̃
Roumaine	ʁu.ˈmɛn
Roumanie	ʁu.ma.ˈni
Rubicon	ʁy.bi.ˈkõ
Russe	ʁys
Russie	ʁy.ˈsi
Républic Dominicaine	ʁe.py.blik.do.mi.ni.ˈkɛn
Sagittaire	sa.ʒi.ˈtɛʁ
Sahara	saa.ˈʁa
Samarie	sa.ma.ˈʁi
Sardaigne	saʁ.ˈdɛnj
Sarde	saʁd
Satan	sa.ˈtã
Saturne	sa.ˈtyʁn
Saxe	saks
Saxon	sak.ˈsɔn
Scandinave	skã.di.ˈnav
Scandinavie	skã.di.na.ˈvi
Scylla	si.ˈla
Seine	sɛn
Serbe	sɛʁb
Serbie	sɛʁ.ˈbi
Seychelles	sɛ.ˈʃɛl
Siam	sjam
Sibérie	si.be.ˈʁi
Sicile	si.ˈsil
Sicilien	si.si.ˈli
Sicilienne	si.si.ˈljɛn
Singapour	sɛ̃.ga.ˈpuʁ
Singapourien	sɛ̃.ga.pu.ˈʁi
Slave	slav
Slavon	sla.ˈvõ
Slovaque	slo.ˈvak
Slovaquie	slo.va.ˈki
Slovénie	slo.ve.ˈni
Slovène	slo.ˈvɛn
Somalie	so.ma.ˈli
Somalien	so.ma.ˈli
Sophie	so.ˈfi
Soudan	su.ˈdã
Soudanais	su.da.ˈnɛ
Sparte	spaʁt
Spitzberg	spidz.ˈbɛʁg
Strasbourg	stʁas.ˈbuʁ
Styrie	sti.ˈʁi
Styx	sti
Suisse	sɥis
Surinam	sy.ʁi.ˈnam
Surinamien	sy.ʁi.na.ˈmi
Surinamienne	sy.ʁi.na.ˈmjɛn
Suédois	sye.ˈdwa
Suède	syɛd
Syrie	sɛ̃.ˈʁi
Syrien	sɛ̃.ˈʁi
Sémite	se.ˈmit
Sénégal	se.ne.ˈgal
Sénégalais	se.ne.ga.ˈlɛ
Séville	se.ˈvil
Tage	taʒ
Talmud	tal.ˈmy
Tamise	ta.ˈmiz
Tanger	tã.ˈʒe
Tantale	tã.ˈtal
Tanzanie	tã.za.ˈni
Tanzanien	tã.za.ˈni
Tatare	ta.ˈtaʁ
Tchad	tʃa
Tchécoslovaque	tʃe.kos.lo.ˈvak
Tchécoslovaquie	tʃe.kos.lo.va.ˈki
Tchèque	tʃɛk
Texan	tɛk.ˈsan
Texane	tɛk.ˈsan
Texas	tɛk.ˈsa
Thaï	tai
Thaïlandais	tai.lã.ˈdɛ
Thaïlandaise	tai.lã.ˈdɛz
Thaïlande	tai.ˈlãd
Tibet	ti.ˈbɛ
Tibre	tibʁ
Tibétain	ti.bɛ.ˈtɛ̃
Tibère	ti.ˈbɛʁ
Tigre	tigʁ
Togo	to.ˈgo
Tokyo	tɔ.ˈkjo
Toussaint	tu.ˈsɛ̃
Transylvanie	tʁã.sil.va.ˈni
Troie	tʁwa
Troyen	tʁwaj
Trèves	tʁɛv
Tunesie	ty.nə.ˈzi
Tunis	ty.ˈni
Turc	tyʁk
Turin	ty.ˈʁɛ̃
Turkménistan	tyʁk.me.ni.ˈstã
Turque	tyʁk
Turquie	tyʁ.ˈki
Ukraine	y.ˈkʁɛn
Ukrainien	y.kʁɛ.ˈni
Ukrainienne	y.kʁɛ.ˈnjɛn
Ulysse	y.ˈlis
Union Européenne	y.njõø.ʁɔ.ˈpeɛn
Uruguay	y.ʁy.ˈgɛj
Valachie	va.la.ˈʃi
Valence	va.ˈlãs
Varsovie	vaʁ.so.ˈvi
Vatican	va.ti.ˈkã
Venise	və.ˈniz
Verseau	vɛʁ.ˈso
Victoria	vik.tɔ.ˈʁja
Vienne	vjɛn
Viennois	vjɛ.ˈnwa
Viennoise	vjɛ.ˈnwaz
Vietnamien	vjɛt.na.ˈmi
Vietnamienne	vjɛt.na.ˈmjɛn
Viking	vi.ˈkiŋ
Visigoth	vi.zi.ˈgɔt
Vistule	vi.ˈstyl
Volga	vɔl.ˈga
Volta Noire	vɔl.ta.ˈnwaʁ
Vosges	vosʒ
Vulcain	vyl.ˈkɛ̃
Vulgate	vyl.ˈgat
Vénus	ve.ˈny
WC	wk
Wallonie	wa.lo.ˈni
Westphalie	wɛst.pa.ˈli
Wisigoth	wi.zi.ˈgɔt
Yougoslave	ju.gos.ˈlav
Yougoslavie	ju.gos.la.ˈvi
Ypres	ipʁ
Yukon	jy.ˈkõ
Yémen	je.ˈmɛn
Yéménite	je.me.ˈnit
Zambie	zã.ˈbi
Zambien	zã.ˈbi
Zanzibar	zã.zi.ˈbaʁ
Zaïre	zaiʁ
Zeus	zø
Zimbabwe	zɛ̃.ˈbab
Zoulou	zu.ˈlu
Zélandais	ze.lã.ˈdɛ
Zélande	ze.ˈlãd
abaissement	a.bɛ.ˈsəm
abaisser	a.bɛ.ˈse
abandon	a.bã.ˈdõ
abandonner	a.bã.dɔ.ˈne
abandonné	a.bã.dɔ.ˈne
abaque	a.ˈbak
abasourdir	a.ba.zuʁ.ˈdiʁ
